Isolate ID,MLST,Count
CPO122,ST410,19
CREC_2,ST410,19
CREC-8,ST410,19
Ec1079,ST410,19
G62,ST410,19
MRSN109943,ST410,19
MRSN109999,ST410,19
MRSN110014,ST410,19
MRSN613248,ST410,19
MRSN702317,ST410,19
MRSN824842,ST410,19
MS10495,ST410,19
ST410,ST410,19
VUTI217,ST420,5
VUTI276,ST420,5
VUTI314,ST420,5
VUTI338,ST420,5
VUTI403,ST420,5
IN06,ST4219,5
UPTC_GRECO_9,ST428,1
EC28,ST429,1
MRSN832484,ST43,1
RECU193,ST4380,1
VUTI321,ST4385,2
VUTI321_1,ST4385,2
10EC,ST44,11
13EC,ST44,11
2EC,ST44,11
B2,ST44,11
BWH_1190_E_col_1,ST44,11
BWH_1209_E_col_1,ST44,11
BWH_1238_E_col_1,ST44,11
BWH_742_E_col_1,ST44,11
BWH_848_E_col_1,ST44,11
GHA_BE_NMIMRSEQ_2021_9,ST44,11
MRSN101993,ST44,11
BWH_761_E_col_1,ST443,2
RECU199,ST443,2
BWH_1460_E_col_1,ST448,4
BWH_1463_E_col_1,ST448,4
CRE1,ST448,4
CREC_4,ST448,4
PNUECU86,ST4496,1
CMZE040,ST450,4
MRSN570660,ST450,4
PNUECU17,ST450,4
RECU234,ST450,4
13TMH22,ST453,8
BK31926,ST453,8
BK32599,ST453,8
C63,ST453,8
E24377A,ST453,8
EDL933,ST453,8
MG655,ST453,8
Sakai,ST453,8
AR_Bank_0349,ST457,3
EC0125,ST457,3
EcLESPA_187,ST457,3
EcPNK006,ST46,2
MRSN831826,ST46,2
MRSN831464,ST48,2
PK5074,ST48,2
VUTI467,ST491,1
BWH_328_E_col_1,ST4981,2
CH611_eco,ST4981,2
EcLESPA_72,ST5148,1
BWH_1558_E_col_1,ST515,1
CMZE088,ST5150,2
UPEC_AU_3,ST5150,2
MRSN831578,ST517,1
10926,ST533,2
CMZE129,ST533,2
K56_43_un,ST537,1
FDAARGOS_144,ST538,1
MRSN102006,ST540,1
BWH_1598_E_col,ST543,1
MS8316,ST550,1
BWH_351_E_col_1,ST5614,1
BWH_975_E_col_1,ST569,2
E._coli_EC3,ST569,2
E5,ST58,11
EcPF20,ST58,11
MRSN110032,ST58,11
MRSN831594,ST58,11
MRSN831640,ST58,11
MRSN831658,ST58,11
MRSN831796,ST58,11
MRSN831842,ST58,11
PAT4-4,ST58,11
UPTC_GRECO_1,ST58,11
UPTC_GRECO_7,ST58,11
BWH_1048_E_col_1,ST5896,1
UPEC_1002,ST59,4
UPTC_GRECO_2,ST59,4
VUTI308,ST59,4
VUTI308_1,ST59,4
UMN026,ST597,1
13KWH46,ST602,2
E._coli_N15-72,ST602,2
5CRE51,ST617,11
7EC,ST617,11
8EC,ST617,11
BR32_DEC,ST617,11
BWH_811_E_col_1,ST617,11
GHA_BE_NMIMRSEQ_2021_2,ST617,11
MRSN109959,ST617,11
MRSN613044,ST617,11
MRSN613053,ST617,11
MRSN832136,ST617,11
PNUECU39,ST617,11
IAI39,ST62,4
MRSN832660,ST62,4
RECU217,ST62,4
VUTI125,ST62,4
C41,ST624,2
EC256,ST624,2
BWH_1015_E_col_1,ST636,10
BWH_1151_E_col_1,ST636,10
BWH_1495_E_col_1,ST636,10
BWH_1619_E_col,ST636,10
BWH_1868_E_col,ST636,10
BWH_851_E_col_1,ST636,10
BWH_861_E_col_1,ST636,10
MRSN702149,ST636,10
MRSN832506,ST636,10
VUTI397,ST636,10
XH987,ST6388,2
XH989,ST6388,2
BR25_DEC,ST641,1
BWH_845_E_col_1,ST642,1
VUTI168,ST6422,1
9602,ST6448,1
201609,ST648,23
1.EC,ST648,23
18EC,ST648,23
BM502,ST648,23
BWH_1242_E_col_1,ST648,23
BWH_1854_E_col,ST648,23
BWH_192_E_col_1,ST648,23
BWH_315_E_col_1,ST648,23
BWH_884_E_col_1,ST648,23
BWH_932_E_col_1,ST648,23
BWH_942_E_col_1,ST648,23
CLSC36,ST648,23
CMZE116,ST648,23
CRE747,ST648,23
CUIB1,ST648,23
MRSN102065,ST648,23
MRSN109930,ST648,23
MRSN570679,ST648,23
MRSN570688,ST648,23
MRSN701775,ST648,23
MS6198,ST648,23
URN_2924,ST648,23
VUTI120,ST648,23
VUTI135,ST6559,1
VUTI213,ST6633,1
VUTI316,ST681,1
BK31464,ST683,2
MRSN831632,ST683,2
IN08,ST685,1
228,ST69,58
118UI,ST69,58
BWH_1224_E_col_1,ST69,58
BWH_1255_E_col_1,ST69,58
BWH_1468_E_col_1,ST69,58
BWH_1537_E_col_1,ST69,58
BWH_1544_E_col_1,ST69,58
BWH_1893_E_col,ST69,58
BWH_1913_E_col,ST69,58
BWH_330_E_col_1,ST69,58
BWH_764_E_col_1,ST69,58
BWH_804_E_col_1,ST69,58
BWH_870_E_col_1,ST69,58
BWH_897_E_col_1,ST69,58
CMZE009,ST69,58
CMZE114,ST69,58
EC1,ST69,58
EC167,ST69,58
EC8_1,ST69,58
EcLESPA_121,ST69,58
EcLESPA_135,ST69,58
GHA_BE_NMIMRSEQ_2021_10,ST69,58
IN04,ST69,58
MRSN109956,ST69,58
MRSN612939,ST69,58
MRSN831480,ST69,58
MRSN831552,ST69,58
MRSN831616,ST69,58
MRSN831624,ST69,58
MRSN831666,ST69,58
MRSN831690,ST69,58
MRSN831720,ST69,58
MRSN831770,ST69,58
MRSN831800,ST69,58
MRSN832098,ST69,58
MRSN832152,ST69,58
MRSN832476,ST69,58
PAT5-5,ST69,58
RECU203,ST69,58
RECU222,ST69,58
SMG017F1,ST69,58
UPEC_1004,ST69,58
UPEC_973,ST69,58
UPEC_974,ST69,58
UPTC_GRECO_4,ST69,58
VUTI150,ST69,58
VUTI150_1,ST69,58
VUTI169,ST69,58
VUTI188,ST69,58
VUTI188_1,ST69,58
VUTI266,ST69,58
VUTI266_1,ST69,58
VUTI286,ST69,58
VUTI286_1,ST69,58
VUTI296,ST69,58
VUTI296_1,ST69,58
VUTI317,ST69,58
VUTI486,ST69,58
UPTC_GRECO_6,ST6999,1
VUTI410,ST70,1
VUTI340,ST711,2
VUTI340_1,ST711,2
VUTI263,ST7231,1
BWH_844_E_col_1,ST7233,1
TUM17668,ST7278,1
4710,ST73,50
ABU_83972,ST73,50
BWH_1250_E_col_1,ST73,50
BWH_1512_E_col_1,ST73,50
BWH_890_E_col_1,ST73,50
CFT073,ST73,50
CMZE112,ST73,50
EcPF14,ST73,50
EcPF5,ST73,50
IN03,ST73,50
IN09,ST73,50
MRSN110028,ST73,50
MRSN537814,ST73,50
MRSN825370,ST73,50
MRSN831956,ST73,50
MRSN832572,ST73,50
NA334,ST73,50
NA336,ST73,50
PAT21-2,ST73,50
PNUECU11,ST73,50
PNUECU40,ST73,50
PNUECU75,ST73,50
RECU185,ST73,50
RECU226,ST73,50
SMG009F1,ST73,50
UPEC_26_1,ST73,50
UPEC_AU_1,ST73,50
UPEC_U013,ST73,50
UPTC_GRECO_3,ST73,50
VUTI116,ST73,50
VUTI146,ST73,50
VUTI163,ST73,50
VUTI184,ST73,50
VUTI184_1,ST73,50
VUTI207,ST73,50
VUTI207_1,ST73,50
VUTI232,ST73,50
VUTI248,ST73,50
VUTI248_1,ST73,50
VUTI264,ST73,50
VUTI287,ST73,50
VUTI287_1,ST73,50
VUTI288,ST73,50
VUTI312,ST73,50
VUTI380,ST73,50
VUTI380_1,ST73,50
VUTI409,ST73,50
VUTI475,ST73,50
VUTI475_1,ST73,50
VUTI489,ST73,50
AR_Bank_0346,ST744,5
BWH_1253_E_col_1,ST744,5
MRSN570484,ST744,5
PAT3-3,ST744,5
PAT3-5,ST744,5
C56,ST75,1
MRSN110034,ST7514,2
MRSN613141,ST7514,2
EC931,ST773,1
BWH_828_E_col_1,ST7949,1
VUTI145,ST80,2
VUTI366,ST80,2
CMZE073,ST803,1
NA266,ST827,1
VUTI270,ST86,2
VUTI270_1,ST86,2
7655,ST88,4
PAT12-2,ST88,4
PAT12-3,ST88,4
RECU169,ST88,4
MRSN102043,ST8881,1
BWH_1293_E_col_1,ST90,2
BWH_871_E_col_1,ST90,2
IN07,ST919,1
UPEC_1007,ST9265,1
VUTI463,ST929,2
VUTI463_1,ST929,2
A50,ST93,5
BWH_888_E_col_1,ST93,5
EC149,ST93,5
PAT3-1,ST93,5
SMG017F2,ST93,5
3EC,ST95,30
BK32884,ST95,30
BWH_664_E_col_1,ST95,30
BWH_826_E_col_1,ST95,30
